ProfileID,MaterialID,GradeID,Profile,Nozzle °C,Nozzle state,Nozzle min °C,Nozzle max °C,Nozzle requirement,Bed °C,Bed state,Bed min °C,Bed max °C,Bed requirement,Chamber °C,Chamber state,Chamber min °C,Chamber max °C,Chamber requirement,Enclosure,Enclosure state,Plate,Drying,Drying state,Drying °C,Drying hours,Nozzle material,Nozzle diameter,Abrasion / clogging,Hardened nozzle,H2C left,H2C right,AMS 2 Pro,AMS HT,AMS published,Support pairing,Failure modes,SourceID,H2C SourceID,Locator,Parse review
P0001,M001,G001-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,X-ECOMAX-PLA-TDS-v3,H2C-WIKI,Recommended printing settings,Not applicable
P0002,M001,G001-02,Manufacturer published guidance,Classic :190-210 °C,range,190,210,required,30 - 60 (˚C),range,30,60,required,Not required (Closure Chamber: No needed),not-required,Not applicable,Not applicable,none,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,material PolySupport™ and PolyDissolve™ S1,Not published,S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0003,M001,G001-03,Manufacturer published guidance,190 -220 ºC,range,190,220,required,0-50 ºC,range,0,50,required,0-40 °C,range,0,40,required,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-PLA-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0004,M002,G002-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 50 °C, 8 h",stated,50,8,Not published,"0.2, 0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-basic-filament-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0005,M003,G003-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 50 °C, 8 h",stated,50,8,Not published,"0.2, 0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-matte-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0006,M005,G005-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","55 °C, 8 hours",stated,55,8,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-basic-gradient-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0007,M006,G006-01,Manufacturer published guidance,220 -250 °C,range,220,250,required,35 -65 °C,range,35,65,required,25 - 45 °C,range,25,45,required,Not published,unknown,Textured PEI Plate / Smooth PEI,X1 Series & H2D SeriesPrinter Heatbed:,stated,Not published,Not published,Not published,"0.2, 0.4,0.6, 0.8mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,"AMS, AMS 2PRO, AMS HT, AMS Lite",Support for PLA,Not published,B-pla-tough-upgrade-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0008,M007,G007-01,Manufacturer published guidance,200 -240 °C,range,200,240,required,35 -65 °C,range,35,65,required,25 -45°C,range,25,45,required,Not published,unknown,Textured PEI Plate /Smooth PEI,"Blast Drying Oven: 50 °C, 8 h",stated,50,8,Not published,"0.2,0.4, 0.6,0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Support for PLA,Not published,B-pla-translucent-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0009,M009,G009-01,Manufacturer published guidance,210 - 240 °C,range,210,240,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate SuperTack, Smooth PEI Plate,","Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.2, 0.4,0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-silk-upgrade-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0010,M010,G010-01,Manufacturer published guidance,210 -240 °C,range,210,240,required,35 - 45°C,range,35,45,required,25 -45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.2,0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-silk-dual-color-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0011,M011,G011-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.2, 0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-metal-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0012,M012,G012-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","55 °C, 8 hours",stated,55,8,Not published,"0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-marble-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0013,M013,G013-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45 °C,range,35,45,required,25-45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","55 °C, 8 hours",stated,55,8,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-sparkle-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0014,M014,G014-01,Manufacturer published guidance,190 - 240 °C,range,190,240,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,Textured PEI Plate / Smooth PEI Plate,"Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-wood-TDS,H2C-WIKI,Recommended printing settings,Not applicable
