Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
disagrees: condition,"Value and standard are right, but Direction is ""Unstated"". The sheet states it for this table: p. 2 Notes, ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.15mm layerheight, 100% infill, 0.4mm nozzle, 245 °C nozzle temperature and 70 °C bed temperature"". The row is from the p. 1 ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" table, so that note is its condition; Specimen / print parameters is ""Not published"" too.",claude-second-read,V006293,b11,colorFabb,PETG Economy,Elongation at yield,Unstated,4.35 %,4.35 %,ISO 527,p. 1: Yield strain %,R-COLORFABB-TDS-E-ColorFabb-PETG-Economy-0,https://3d.nice-cdn.com/upload/file/TDS_E_ColorFabb_PETG_Economy[0].pdf,.cache/sources/by-sha/4cf588febf0ed414b142bd8a924d061d18874b6fc9aad91553c945189008c570.pdf,
agree,,claude-second-read,V006390,b11,Polymaker,FIBERON PPS CF10,Surface resistivity,Not applicable,10^12 Ω,1000000000000 Ω,Ω ANSI ESD S11.11 OL,p. 1: Surface Resistivity (Ω) ANSI ESD S11.11 OL,R-POLYMAKER-FIBERON-TDS-FIBERON-PPS-CF10-V1-1-EN-1,https://polymaker.com/wp-content/uploads/TDS_FIBERON-PPS-CF10_V1.1_EN-1.pdf,.cache/sources/by-sha/7c93949f3453a54d301969640699a51aef6ca945ee9930f4d6148a54b92eb9b3.pdf,
agree,,claude-second-read,V006288,b11,Flashforge,PLA,Continuous service temperature,Not applicable,50 ℃,50 °C,IEC 60216,p. 1: Continuous Service Temperature IEC 60216 ℃,D-FLASH-PLA-TDS-EN,https://after-support.flashforge.jp/uploads/datasheet/tds/PLA_TDS_EN.pdf,.cache/sources/by-sha/4514e8abbf117b6283d66c0ce5995f019f96ef4e3f4472d27d7bb753d72ffa0b.pdf,
disagrees: condition,"Value and standard are right, but Direction is ""Unstated"". The sheet states it for this table: p. 2 Notes, ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.15mm layerheight, 100% infill, 0.4mm nozzle, 245 °C nozzle temperature and 70 °C bed temperature"". The row is from the p. 1 ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" table, so that note is its condition; Specimen / print parameters is ""Not published"" too.",claude-second-read,V006295,b11,colorFabb,PETG Economy,Tensile strain at strength,Unstated,4.35 %,4.35 %,ISO 527,p. 1: Tensile strain at tensile strength %,R-COLORFABB-TDS-E-ColorFabb-PETG-Economy-0,https://3d.nice-cdn.com/upload/file/TDS_E_ColorFabb_PETG_Economy[0].pdf,.cache/sources/by-sha/4cf588febf0ed414b142bd8a924d061d18874b6fc9aad91553c945189008c570.pdf,
agree,,claude-second-read,V006254,b11,Spectrum,petg esd,Hardness,Not applicable,108,108 Rockwell R,D 785,"p. 1: Rockwell Hardness, R Scale",S-SPECTRUM-EN-TDS-Spectrum-PETG-ESD,https://3d.nice-cdn.com/upload/file/EN_TDS_Spectrum_PETG_ESD.pdf,.cache/sources/by-sha/249758e169e5d5124ca9129503ba19ed08499cc56ad454c28c0cde018e0f5e69.pdf,
agree,,claude-second-read,V006441,b11,Extrudr,PETG,Izod impact strength,Not applicable,"4,7 kj/m²",4.7 kJ/m²,ISO 180,p. 1: Notched impact strength ISO 180 kj/m²,R-EXTRUDR-petg-TDS-en,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/petg-TDS-en.pdf,.cache/sources/by-sha/8864ef2742bfc24e5fea43d10d946bc81e8c6aec4bfc2a774bfc22aa8105ab00.pdf,
agree,,claude-second-read,V006212,b11,Extrudr,DURAPRO PC-PBT,Thermal conductivity,Not applicable,0.2 W/(m·K),0.2 W/(m·K),ISO 8302,"p. 1: Wärmeleitfähigkeit, senkrecht ISO 8302 W/(m·K)",R-EXTRUDR-durapro-pc-pbt-TDS-de,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-de/durapro-pc-pbt-TDS-de.pdf,.cache/sources/by-sha/1863cd7ffea7be97af893c46f78770c464537642a973242c5c9308f41cd0c33a.pdf,
agree,,claude-second-read,V006199,b11,Spectrum,S-Flex 98A,Compression set,Unstated,"32,00 %",32 %,70 h 23°C ISO 815,p. 1: Compression set / 70 h @ 23°C,S-SPECTRUM-EN-TDS-Spectrum-SFLEX-98A,https://3d.nice-cdn.com/upload/file/EN_TDS_Spectrum_SFLEX_98A.pdf,.cache/sources/by-sha/107bbf75d495055d57467868383fce229706551b6d3f89e3bef5fb08bf801d90.pdf,
agree,,claude-second-read,V006305,b11,colorFabb,PETG Economy,Tensile strength (endpoint unspecified),Unstated,49 MPa,49 MPa,ISO 527,p. 2: Tensile strength MPa,R-COLORFABB-TDS-E-ColorFabb-PETG-Economy-0,https://3d.nice-cdn.com/upload/file/TDS_E_ColorFabb_PETG_Economy[0].pdf,.cache/sources/by-sha/4cf588febf0ed414b142bd8a924d061d18874b6fc9aad91553c945189008c570.pdf,
disagrees: standard,"Value 106.6 °C is right, but Standards and Standard / load read ""Not published"". The sheet prints the method in its TESTING METHOD column on the row itself: ""Glass transition temp. DSC, 10°C/min 106.6°C"". DSC is a value of the repo vocabulary (""where the source names the method but no standard"") and earlier Fiberon sheets record it (V001927, V002061, V002417); this batch dropped it on every Fiberon Tg and Tm row.",claude-second-read,V006480,b11,Polymaker,FIBERON ASA CF08,Glass transition temperature,Not applicable,106.6 °C,106.6 °C,Not published,"p. 1: Glass transition temp. DSC, 10°C/min",R-POLYMAKER-FIBERON-TDS-FIBERON-ASA-CF08-V1-0-EN,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-ASA-CF08_V1.0_EN.pdf,.cache/sources/by-sha/a14a5ae1c5ca6030b00a95bff124059fe0a2553b23d3cc2f84c3fcb2cde706ef.pdf,
