Token,Modifier,Note
3dxstat,ESD formulation,3DXTECH's ESD line
aero,Foaming,
aluminium,,a metal load: a ruling
antistatic,ESD formulation,
aramid,,as above
basalt,,a mineral fibre: a ruling
calcium,,a chalk load: a ruling
carbon,Carbon fibre,
carbonfiber,Carbon fibre,one word
carbonfibre,Carbon fibre,one word
carbonfil,Carbon fibre,
carbonx,,"a 3DXTECH brand line, not a filler declaration"
ceramic,,a ceramic load raises density and stiffness and has no vocabulary value: a ruling
cf,Carbon fibre,
cf10,Carbon fibre,
cf15,Carbon fibre,
cf17,Carbon fibre,
cf20,Carbon fibre,
cf25,Carbon fibre,
cf30,Carbon fibre,
conductive,,electrically conductive has no modifier value yet: a ruling
esd,ESD formulation,
fiberglass,Glass fibre,
flax,,a natural fibre: a ruling
foamy,Foaming,
gf,Glass fibre,
gf10,Glass fibre,
gf15,Glass fibre,
gf20,Glass fibre,
gf25,Glass fibre,
gf30,Glass fibre,
glass,Glass fibre,
glassfiber,Glass fibre,one word
glassfibre,Glass fibre,one word
graphene,,a graphene load is neither carbon fibre nor unfilled: a ruling
hemp,,a natural fibre: a ruling
kevlar,,aramid has no modifier value yet: a ruling
lightweight,Foaming,
lw,Foaming,
magnetite,,an iron-oxide load: a ruling
mineral,,a mineral load changes modulus and is not declared as a fraction: a ruling
ptfe,,a tribological load: a ruling
rcf08,Carbon fibre,recycled carbon fibre
talc,,a mineral load: a ruling
tungsten,,"a dense metal load, up to 75 wt%: a ruling"
