Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
,,,V009097,b19,MatterHackers,TPU,Hardness,Not applicable,95 Shore A,95 Shore A,ASTM D2240,p. 1: Hardness,R-MATTERHACKERS-PRO-SERIES-XNT7Rt,https://www.matterhackers.com/r/XNT7Rt,.cache/sources/by-sha/d0660224ed2ecb2ae279f73b8801e6ff6643de1b916be09c2a5e6343fd3d01dc.pdf,
,,,V008949,b19,MatterHackers,PLA,Tensile break strength,Unstated,53 MPa,53 MPa,ASTM D882,p. 1: Tensile Strength at Break,R-MATTERHACKERS-PRO-SERIES-PjYTX0,https://www.matterhackers.com/r/PjYTX0.pdf,.cache/sources/by-sha/65e4b36111c491ab5b179e18bcefd9f87d200900f124ec9482b97b975a15c6b2.pdf,
,,,V008940,b19,Nobufil,ASAx CF,Flexural modulus,Unstated,2900 MPa,2.9 GPa,ISO 178,p. 1: Flexural modulus,R-3DJAKE-3DJAKE-ASAx-CF-Technical-Data,https://3d.nice-cdn.com/upload/file/ASAx_CF_Technical_Data.pdf,.cache/sources/by-sha/62e22c4c5e036579bfdae7cc4392e0142eb991ac21c1858e64e93809ba5efbeb.pdf,
,,,V008784,b19,Creality,Hyper-PLA RFID,Impact strength,XY,17.586 kJ/m2,17.586 kJ/m²,ASTM D256 ISO 179 GB/T 1043,"p. 2: Charpy impact strength (X-Y) ASTM D256 (ISO 179, GB/T 1043)",R-3DJAKE-3DJAKE-15-TDS-Hyper-RFID-PLA-EN,https://3d.nice-cdn.com/upload/file/15_TDS_Hyper_RFID_PLA_EN_.pdf,.cache/sources/by-sha/1ff4491d2d24cecba8421f56a0af6308ab4867f0f4bd0a70fc3c0ff40b1e6aba.pdf,
,,,V008986,b19,MatterHackers,ESD-Safe ABS,Surface resistivity,Not applicable,7-10^9 Ω,7 Ω,10^ ASTM D257,p. 1: Surface Resistance: 10^,R-MATTERHACKERS-PRO-SERIES-ri8LR8,https://www.matterhackers.com/r/ri8LR8,.cache/sources/by-sha/6e67258c0ee3a6957cf5e37d1a0aa0eb6b0f1b99f6395e82e781a60f51e3f0b3.pdf,
,,,V009142,b19,Anycubic,PLA High Speed,Crystallization temperature,Not applicable,109 ℃,109 °C,ISO 11357-1,"p. 2: Crystallization Temperature ISO 11357-1, 10℃/min ℃",R-3DJAKE-3DJAKE-ANYCUBIC-TDS-PLA-HS-V3-0,https://3d.nice-cdn.com/upload/file/ANYCUBIC_TDS_PLA_HS_V3.0.pdf,.cache/sources/by-sha/fde3324f7bb6b28753b4fb6ef15d53a748b50ec1cbac92e43baf77e58e95b9a5.pdf,
,,,V008885,b19,Ensinger,TECAFIL PEEK EV natural - 1.75 mm,Melting temperature,Not applicable,343 °C,343 °C,Not published,p. 1: Melting temperature,R-FILAMENT2PRINT-PEEK-EV-Nat,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3797,.cache/sources/by-sha/4ec8da77f509ca7279b3c409300bb349dd2f517bbdbc5da72405bcaebd229dc5.pdf,
,,,V008803,b19,3DJake,ecoPLA Sparkling,Tensile modulus,Unstated,"475.737 MPa (TDS prints ""475,737"" with European decimal separator)",0.475737 GPa,ISO 527,p. 1: E-Modulus,R-3DJAKE-3DJAKE-TDS-ecoPLA-Sparkling-0,https://3d.nice-cdn.com/upload/file/TDS_ecoPLA_Sparkling[0].pdf,.cache/sources/by-sha/2cd98f6cd83062e80999e13a12b6dc7d11976bd5694b81d74d4d971f7649d687.pdf,
,,,V009143,b19,Anycubic,PLA High Speed,Vicat softening temperature,Not applicable,54.1 ℃,54.1 °C,VST 10N ISO 306,"p. 2: Vicat Softening Temperature (VST) ISO 306, 10N ℃",R-3DJAKE-3DJAKE-ANYCUBIC-TDS-PLA-HS-V3-0,https://3d.nice-cdn.com/upload/file/ANYCUBIC_TDS_PLA_HS_V3.0.pdf,.cache/sources/by-sha/fde3324f7bb6b28753b4fb6ef15d53a748b50ec1cbac92e43baf77e58e95b9a5.pdf,
,,,V008886,b19,Ensinger,TECAFIL PEEK EV natural - 1.75 mm,HDT,Not applicable,162 °C,162 °C,Not published,p. 1: Deflection temperature HDT-A,R-FILAMENT2PRINT-PEEK-EV-Nat,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3797,.cache/sources/by-sha/4ec8da77f509ca7279b3c409300bb349dd2f517bbdbc5da72405bcaebd229dc5.pdf,
